doc_id,document,category
1,asus tuf gaming laptop with rtx graphics,laptop
2,acer nitro 5 gaming notebook,laptop
3,lenovo legion gaming laptop,laptop
4,hp office laptop for students,laptop
5,ergonomic office chair with lumbar support,chair
6,mesh back adjustable office chair,chair
7,executive leather office chair,chair
8,wooden dining chair set,chair
9,noise cancelling bluetooth earbuds,audio
10,true wireless sports earbuds,audio
11,wireless earbuds with long battery life,audio
12,wired over-ear headphones,audio
13,lightweight running shoes for men,shoes
14,trail running sneakers with extra grip,shoes
15,cushioned road running shoes,shoes
16,formal leather office shoes,shoes
17,wireless gaming mouse,accessory
18,mechanical gaming keyboard,accessory
19,usb c laptop charger,accessory
20,cotton socks pack,accessory
