query,document,relevance
gaming laptop,asus tuf gaming laptop with rtx graphics,3
gaming laptop,hp office laptop for students,0
gaming laptop,acer nitro 5 gaming notebook,3
gaming laptop,wireless mouse for office work,0
gaming laptop,lenovo legion gaming laptop,2
wireless earbuds,noise cancelling bluetooth earbuds,3
wireless earbuds,wired over-ear headphones,0
wireless earbuds,true wireless sports earbuds,2
wireless earbuds,smartphone fast charger,0
wireless earbuds,wireless earbuds with long battery life,3
office chair,ergonomic office chair with lumbar support,3
office chair,wooden dining chair set,0
office chair,mesh back adjustable office chair,2
office chair,computer desk with drawers,0
office chair,executive office chair leather,2
running shoes,lightweight running shoes for men,3
running shoes,formal leather office shoes,0
running shoes,trail running sneakers with grip,2
running shoes,cotton socks pack,0
running shoes,cushioned road running shoes,3
